Rep	theta_norm	Y_norm	MLE_Err	Bayes_Err	Win	bya	c_value	bya_breakpoint
0209	0.00000	6.75799	45.67042	0.00000	45.67042	21.62687	0.99512	0.29590
0210	0.00000	7.70301	59.33643	2.16586	57.17057	13.59971	0.98730	0.00000
0211	0.00000	7.20380	51.89468	0.29229	51.60239	16.77074	0.98926	0.00000
0212	0.00000	6.72196	45.18468	0.00000	45.18468	22.20637	0.99512	0.33301
0213	0.00000	7.04335	49.60871	0.05217	49.55654	17.95077	0.99121	0.00000
0214	0.00000	8.01696	64.27167	4.11950	60.15217	11.92916	0.98340	0.00000
0215	0.00000	8.08861	65.42560	4.64117	60.78443	11.57767	0.98340	0.00000
0216	0.00000	5.23923	27.44956	0.00000	27.44956	42.07894	0.99902	0.99121
0217	0.00000	5.90605	34.88145	0.00000	34.88145	34.62139	0.99902	0.89746
0218	0.00000	6.97643	48.67061	0.00924	48.66137	18.46942	0.99121	0.05371
0219	0.00000	6.62197	43.85048	0.00000	43.85048	23.80044	0.99707	0.43457
0220	0.00000	6.15512	37.88552	0.00000	37.88552	30.97397	0.99902	0.79199
0221	0.00000	7.02813	49.39460	0.03937	49.35522	18.06729	0.99121	0.00000
0222	0.00000	6.33567	40.14073	0.00000	40.14073	28.25207	0.99902	0.67871
0223	0.00000	8.06747	65.08404	4.48442	60.59962	11.68031	0.98340	0.00000
0224	0.00000	6.54843	42.88190	0.00000	42.88190	24.95986	0.99707	0.50488
0225	0.00000	7.42294	55.10007	0.91490	54.18517	15.29212	0.98926	0.00000
0226	0.00000	6.52370	42.55860	0.00000	42.55860	25.34731	0.99707	0.52637
0227	0.00000	6.70442	44.94927	0.00000	44.94927	22.48739	0.99512	0.35059
0228	0.00000	6.83679	46.74176	0.00000	46.74176	20.35024	0.99316	0.20996
0229	0.00000	7.43772	55.31964	0.96850	54.35114	15.19755	0.98926	0.00000
0230	0.00000	7.31456	53.50272	0.56595	52.93677	16.00523	0.98926	0.00000
0231	0.00000	6.71345	45.07042	0.00000	45.07042	22.34275	0.99512	0.34277
0232	0.00000	8.06544	65.05127	4.46949	60.58178	11.69021	0.98340	0.00000
0233	0.00000	8.18972	67.07160	5.42295	61.64865	11.09887	0.98340	0.00000
0234	0.00000	7.57777	57.42265	1.54619	55.87646	14.33103	0.98730	0.00000
0235	0.00000	7.30994	53.43521	0.55285	52.88237	16.03637	0.98926	0.00000
0236	0.00000	6.40716	41.05172	0.00000	41.05172	27.15608	0.99902	0.62402
0237	0.00000	6.13801	37.67519	0.00000	37.67519	31.22849	0.99902	0.79980
0238	0.00000	7.34932	54.01255	0.66930	53.34325	15.77270	0.98926	0.00000
0239	0.00000	8.62799	74.44222	9.39240	65.04982	9.23451	0.97949	0.00000
0240	0.00000	6.47975	41.98714	0.00000	41.98714	26.03267	0.99707	0.56543
0241	0.00000	6.30549	39.75922	0.00000	39.75922	28.71163	0.99902	0.70020
0242	0.00000	5.90195	34.83302	0.00000	34.83302	34.68042	0.99902	0.89746
0243	0.00000	7.01721	49.24118	0.03129	49.20990	18.15144	0.99121	0.00684
0244	0.00000	7.15914	51.25332	0.20651	51.04682	17.09044	0.99121	0.00000
0245	0.00000	7.26234	52.74164	0.42629	52.31535	16.36130	0.98926	0.00000
0246	0.00000	6.92789	47.99572	0.00000	47.99572	18.85858	0.99121	0.10840
0247	0.00000	6.78625	46.05319	0.00000	46.05319	21.17051	0.99512	0.26465
0248	0.00000	6.68539	44.69440	0.00000	44.69440	22.79175	0.99512	0.37012
0249	0.00000	6.35888	40.43540	0.00000	40.43540	27.89736	0.99902	0.66113
0250	14.14214	14.40579	30.76364	33.00943	-2.24579	-0.53932	0.88379	0.93848
0251	14.14214	15.10285	50.76246	44.26866	6.49380	-0.93282	0.87012	0.44043
0252	14.14214	16.66136	49.14902	35.53236	13.61665	-1.58687	0.83496	0.00000
0253	14.14214	15.72515	41.05071	33.22196	7.82875	-1.22677	0.85645	0.22559
0254	14.14214	16.78178	58.12695	42.48843	15.63852	-1.62708	0.83301	0.00000
0255	14.14214	16.62709	62.99880	47.11938	15.87942	-1.57520	0.83691	0.00000
0256	14.14214	15.28321	43.25452	37.32975	5.92477	-1.02311	0.86621	0.47559
0257	14.14214	14.56588	43.24272	41.56684	1.67588	-0.63641	0.87988	0.81543
0258	14.14214	15.87086	64.39199	51.38100	13.01098	-1.28884	0.85254	0.00000
0259	14.14214	15.46508	53.56235	44.58504	8.97731	-1.10984	0.86230	0.12793
0260	14.14214	16.71458	52.90835	38.42718	14.48117	-1.60480	0.83496	0.00000
0261	14.14214	17.79740	47.50436	29.88752	17.61685	-1.92017	0.81152	0.00000
0262	14.14214	15.35013	49.07762	41.60056	7.47706	-1.05551	0.86426	0.31152
0263	14.14214	16.55359	61.08826	45.82939	15.25887	-1.54980	0.83887	0.00000
0264	14.14214	17.73645	77.06149	55.14389	21.91760	-1.90469	0.81152	0.00000
0265	14.14214	16.11258	30.37901	22.61473	7.76428	-1.38665	0.84668	0.18457
0266	14.14214	15.38760	55.39410	46.43945	8.95465	-1.07341	0.86230	0.14160
0267	14.14214	15.33495	34.15509	29.80422	4.35087	-1.04821	0.86426	0.60840
0268	14.14214	15.79572	55.29675	44.36924	10.92752	-1.25713	0.85449	0.00000
0269	14.14214	15.53646	34.54898	28.99483	5.55414	-1.14275	0.86035	0.48730
0270	14.14214	17.51189	60.68972	42.00790	18.68182	-1.84548	0.81738	0.00000
0271	14.14214	14.40793	52.22085	49.49022	2.73064	-0.54065	0.88379	0.77051
0272	14.14214	15.64619	64.50468	52.48366	12.02102	-1.19213	0.85840	0.00000
0273	14.14214	19.08880	62.35809	38.81265	23.54544	-2.19624	0.78223	0.00000
0274	14.14214	15.45753	56.52063	46.98716	9.53347	-1.10632	0.86230	0.06543
0275	14.14214	14.70155	48.65134	44.92328	3.72806	-0.71542	0.87793	0.69629
0276	14.14214	17.87011	48.93426	30.85577	18.07849	-1.93832	0.80957	0.00000
0277	14.14214	16.06562	40.82593	31.35440	9.47152	-1.36813	0.84863	0.00000
0278	14.14214	16.46919	90.61697	70.46887	20.14810	-1.52002	0.83887	0.00000
0279	14.14214	15.51512	32.09514	27.14717	4.94798	-1.13297	0.86035	0.54395
0280	14.14214	16.12819	53.39688	41.30726	12.08962	-1.39275	0.84668	0.00000
0281	14.14214	14.94806	39.31533	36.14467	3.17066	-0.85175	0.87207	0.71777
0282	14.14214	15.70993	77.55484	62.70436	14.85048	-1.22015	0.85645	0.00000
0283	14.14214	16.65034	52.32789	38.20639	14.12150	-1.58313	0.83496	0.00000
0284	14.14214	16.70577	37.78927	25.94381	11.84546	-1.60185	0.83496	0.00000
0285	14.14214	16.87671	53.58446	38.34846	15.23601	-1.65789	0.83105	0.00000
0286	14.14214	14.74610	52.36684	47.55150	4.81534	-0.74074	0.87598	0.61621
0287	14.14214	16.77445	45.46354	32.01353	13.45001	-1.62467	0.83301	0.00000
0288	14.14214	15.37621	44.47623	37.79596	6.68026	-1.06799	0.86426	0.39160
0289	14.14214	15.18976	51.53697	44.40843	7.12854	-0.97687	0.86816	0.36621
0290	14.14214	16.09285	33.46582	25.22817	8.23765	-1.37890	0.84863	0.12988
0291	14.14214	13.82262	59.01954	58.49587	0.52368	-0.14709	0.89551	0.87988
0292	14.14214	18.54220	77.55960	53.35490	24.20470	-2.09069	0.79395	0.00000
